# type=paths viewport=1280x720 start=53,685 end=640,396 direction=to_center_from_bl
t,rx,ry
0,0,0
0.006,0.0017,0
0.018,0.0017,0
0.029,0.0035,0
0.046,0.0052,0
0.062,0.0052,0
0.079,0.007,0
0.095,0.007,0
0.134,0.007,0
0.482,0.007,0
0.486,0.0087,0
0.5,0.0122,0
0.514,0.0139,0
0.528,0.0174,0
0.545,0.0174,0
0.561,0.0191,0
0.579,0.0191,0
0.913,0.0209,0
0.917,0.0244,0.0035
0.929,0.0279,0.0071
0.945,0.0366,0.0141
0.962,0.047,0.0212
0.978,0.0592,0.0353
0.994,0.0679,0.0459
1.011,0.0748,0.053
1.028,0.0818,0.0635
1.046,0.087,0.0671
1.061,0.0888,0.0671
1.078,0.0888,0.0671
1.318,0.0888,0.0671
1.331,0.0923,0.0706
1.345,0.1027,0.0777
1.361,0.1218,0.0883
1.378,0.148,0.1094
1.398,0.181,0.1342
1.413,0.2228,0.1695
1.429,0.2663,0.2154
1.444,0.3133,0.2683
1.461,0.3568,0.3248
1.478,0.3847,0.3636
1.495,0.4108,0.3989
1.511,0.4265,0.4166
1.528,0.4421,0.4378
1.544,0.4456,0.4413
1.814,0.4473,0.4448
1.82,0.4526,0.4519
1.83,0.4613,0.459
1.847,0.47,0.466
1.863,0.4909,0.4801
1.88,0.5309,0.5119
1.894,0.5779,0.5402
1.911,0.6214,0.5684
1.928,0.6736,0.6072
1.946,0.7119,0.639
1.961,0.7398,0.6708
1.978,0.7624,0.6955
1.994,0.7746,0.7132
2.013,0.7868,0.7273
2.027,0.7937,0.7343
2.221,0.7937,0.7414
2.23,0.7955,0.7555
2.247,0.799,0.7732
2.263,0.8094,0.8049
2.278,0.8216,0.8332
2.294,0.832,0.8508
2.311,0.8512,0.8861
2.327,0.8616,0.9003
2.346,0.8703,0.9073
2.361,0.8773,0.9144
2.378,0.8825,0.9179
2.399,0.886,0.9214
2.413,0.8895,0.925
2.428,0.893,0.9285
2.444,0.8964,0.9285
2.461,0.8982,0.932
2.478,0.8999,0.932
2.494,0.9034,0.932
2.511,0.9086,0.9356
2.527,0.9121,0.9356
2.544,0.9173,0.9356
2.561,0.9225,0.9391
2.579,0.9278,0.9391
2.594,0.9347,0.9426
2.611,0.9399,0.9426
2.629,0.9469,0.9462
2.645,0.9521,0.9497
2.661,0.9574,0.9532
2.679,0.9626,0.9603
2.694,0.9695,0.9673
2.711,0.9782,0.9779
2.727,0.9817,0.9815
2.744,0.9852,0.985
2.76,0.9887,0.985
2.778,0.9887,0.985
2.795,0.9904,0.9885
2.924,0.9904,0.9885
2.931,0.9904,0.9885
2.947,0.9922,0.9885
2.963,0.9956,0.9885
2.979,1.0009,0.9885
2.994,1.0044,0.9921
3.012,1.0061,0.9921
3.028,1.0078,0.9921
3.045,1.0078,0.9921
3.062,1.0096,0.9921
3.083,1.0096,0.9921
3.096,1.0096,0.9921
