# type=paths viewport=1280x720 start=60,356 end=640,396 direction=to_center_from_l
t,rx,ry
0,0,0
0.018,0,-0.0516
0.027,-0.0018,-0.0774
0.044,-0.0018,-0.0774
0.061,-0.0018,-0.1032
0.076,-0.0018,-0.1032
0.239,-0.0018,-0.129
0.246,-0.0018,-0.129
0.263,-0.0018,-0.1548
0.277,0,-0.2065
0.295,0,-0.2323
0.31,0.0018,-0.2581
0.326,0.0018,-0.2839
0.343,0.0018,-0.2839
0.639,0.0018,-0.2839
0.646,0.0035,-0.2839
0.66,0.007,-0.2839
0.677,0.0123,-0.2323
0.693,0.0194,-0.2065
0.71,0.0247,-0.1548
0.727,0.0335,-0.1548
0.743,0.0352,-0.1548
0.998,0.037,-0.1548
1.011,0.0405,-0.129
1.013,0.0476,-0.1032
1.026,0.0546,-0.0258
1.042,0.0722,0.0774
1.059,0.0916,0.1806
1.078,0.104,0.2323
1.093,0.1181,0.2581
1.109,0.1251,0.2581
1.366,0.1286,0.2581
1.38,0.1339,0.2581
1.394,0.1515,0.2581
1.411,0.1709,0.3097
1.428,0.2097,0.4645
1.444,0.2414,0.5935
1.459,0.2784,0.7742
1.476,0.3048,0.8774
1.494,0.3189,0.9032
1.511,0.3295,0.9032
1.526,0.3383,0.9032
1.543,0.3383,0.9032
1.748,0.3383,0.9032
1.749,0.3436,0.9032
1.762,0.3507,0.9032
1.778,0.3595,0.9032
1.795,0.3947,0.9032
1.811,0.4441,0.9548
1.829,0.4916,1.0323
1.843,0.5251,1.0581
1.859,0.5621,1.1097
1.876,0.5938,1.1097
1.893,0.615,1.1097
1.91,0.6326,1.1097
1.926,0.6396,1.0581
1.943,0.6432,1.0323
2.194,0.6449,1.0323
2.197,0.6502,1.0065
2.211,0.659,0.9806
2.228,0.6819,0.9548
2.244,0.7048,0.9548
2.259,0.7313,0.9548
2.276,0.7612,0.9548
2.293,0.7753,1.0065
2.311,0.7912,1.0323
2.328,0.8018,1.0581
2.344,0.8088,1.0839
2.36,0.8159,1.0839
2.376,0.8247,1.1097
2.393,0.83,1.1355
2.411,0.837,1.1613
2.427,0.8458,1.1871
2.443,0.8511,1.1871
2.46,0.8617,1.1871
2.478,0.8705,1.1871
2.493,0.8793,1.1613
2.511,0.8916,1.1355
2.526,0.8987,1.1355
2.543,0.9075,1.1355
2.559,0.9198,1.1355
2.576,0.9269,1.1355
2.593,0.9339,1.1355
2.609,0.9392,1.1355
2.628,0.9463,1.1355
2.644,0.9515,1.1355
2.66,0.9568,1.1355
2.676,0.9621,1.1355
2.693,0.9674,1.1355
2.71,0.9727,1.1613
2.726,0.978,1.1613
2.743,0.9815,1.1613
2.759,0.985,1.1613
2.776,0.9868,1.1613
2.792,0.9885,1.1613
2.809,0.9903,1.1613
2.827,0.9903,1.1613
2.842,0.9921,1.1613
2.86,0.9921,1.1613
2.878,0.9921,1.1613
2.893,0.9921,1.1613
2.91,0.9938,1.1613
2.927,0.9938,1.1355
2.943,0.9956,1.1097
2.96,0.9991,1.0839
2.977,1.0026,1.0581
2.993,1.0062,1.0323
3.009,1.0079,0.9806
3.026,1.0097,0.9548
3.043,1.0132,0.929
3.059,1.0132,0.929
3.076,1.015,0.9032
