# type=paths viewport=1280x720 start=69,71 end=640,576 direction=to_lower_from_ul
t,rx,ry
0,0,0
0.014,-0.0072,-0.0121
0.027,-0.0143,-0.0223
0.044,-0.0269,-0.0405
0.06,-0.0304,-0.0466
0.079,-0.034,-0.0526
0.093,-0.0394,-0.0587
0.11,-0.0394,-0.0607
0.127,-0.0412,-0.0607
0.145,-0.0412,-0.0628
0.231,-0.0412,-0.0628
0.245,-0.0412,-0.0628
0.414,-0.0412,-0.0628
0.415,-0.0412,-0.0668
0.429,-0.0412,-0.0709
0.445,-0.0394,-0.0749
0.461,-0.034,-0.0769
0.478,-0.0304,-0.0789
0.494,-0.0233,-0.083
0.512,-0.0197,-0.083
0.528,-0.0179,-0.083
0.544,-0.0161,-0.083
0.561,-0.0161,-0.083
0.584,-0.0161,-0.085
0.61,-0.0161,-0.085
0.628,-0.0161,-0.085
0.639,-0.0161,-0.085
0.654,-0.0161,-0.087
0.719,-0.0161,-0.087
0.735,-0.0161,-0.087
0.744,-0.0161,-0.087
0.76,-0.0143,-0.087
0.778,-0.0143,-0.087
0.794,-0.0125,-0.087
0.812,-0.0125,-0.087
0.847,-0.0125,-0.087
0.863,-0.0107,-0.087
0.879,-0.0107,-0.087
0.893,-0.009,-0.087
0.911,-0.0072,-0.087
0.928,-0.0054,-0.0891
0.946,-0.0018,-0.0891
0.96,0,-0.0911
0.977,0.0018,-0.0931
0.994,0.0018,-0.0931
1.197,0.0018,-0.0931
1.198,0.0054,-0.0891
1.213,0.0107,-0.085
1.228,0.0197,-0.0749
1.246,0.0394,-0.0567
1.261,0.0591,-0.0405
1.277,0.077,-0.0243
1.293,0.0931,-0.0101
1.31,0.1092,0.004
1.327,0.1164,0.0101
1.551,0.1164,0.0101
1.563,0.12,0.0162
1.577,0.1289,0.0263
1.594,0.1719,0.0709
1.61,0.2596,0.166
1.626,0.3366,0.251
1.645,0.3957,0.3138
1.66,0.4405,0.3644
1.677,0.4799,0.4049
1.95,0.4799,0.4049
1.962,0.4852,0.415
1.979,0.4942,0.4251
1.993,0.5192,0.4656
2.01,0.5497,0.5182
2.027,0.5819,0.5709
2.043,0.5998,0.6032
2.062,0.6195,0.6356
2.077,0.6321,0.6498
2.094,0.6392,0.6559
2.334,0.6392,0.6559
2.346,0.641,0.666
2.362,0.65,0.6761
2.379,0.6804,0.7227
2.395,0.7234,0.7733
2.412,0.7681,0.8198
2.428,0.8201,0.8765
2.443,0.8684,0.9231
2.46,0.8935,0.9474
2.477,0.9185,0.9696
2.493,0.9293,0.9737
2.512,0.94,0.9777
2.527,0.949,0.9777
2.545,0.949,0.9737
2.779,0.9508,0.9737
2.781,0.9526,0.9737
2.794,0.9543,0.9757
2.81,0.9597,0.9757
2.827,0.9651,0.9777
2.845,0.9705,0.9777
2.86,0.9794,0.9798
2.877,0.9848,0.9818
2.893,0.9919,0.9858
2.911,0.9991,0.9899
2.927,1.0027,0.9919
2.944,1.0045,0.9939
2.96,1.0063,0.9939
2.978,1.0063,0.996
